facility_id,facility_name,facility_type,barangay_name,operator_type,capacity_persons_synth,staff_count_synth,operational_status_synth,has_backup_power_synth,has_water_storage_synth,access_road_condition_synth,latitude_wgs84_synth,longitude_wgs84_synth,last_inspected_synth,remarks_synth
FAC-055,Poblacion Barangay 6 Barangay Hall,Barangay Hall,Poblacion Barangay 6,LGU,214,16,Operational,Yes,No,Fair,14.014497,121.161499,2026-08-27,Verify signage
FAC-056,San Carlos Barangay Hall,Barangay Hall,San Carlos,Barangay,281,35,Operational,Yes,Yes,Good,13.925384,121.161682,2026-07-23,
FAC-057,Santo Toribio Barangay Hall,Barangay Hall,Santo Toribio,LGU,177,25,Operational,Yes,Yes,Fair,13.896168,121.113769,2026-08-22,Update contact details
FAC-058,Anilao Barangay Hall,Barangay Hall,Anilao,LGU,112,32,Operational,Yes,No,Good,13.929738,121.080094,2026-07-02,Routine monitoring
FAC-059,Bulacnin Barangay Hall,Barangay Hall,Bulacnin,Barangay,246,4,Operational,Yes,Yes,Poor,13.955647,121.166598,2026-08-16,Verify signage
FAC-060,Lodlod Barangay Hall,Barangay Hall,Lodlod,National Government,191,7,Limited,Yes,No,Good,13.880715,121.218604,2026-07-12,
FAC-061,Pagolingin West Barangay Hall,Barangay Hall,Pagolingin West,Barangay,210,22,Limited,Yes,No,Good,13.987282,121.146683,2026-07-25,
FAC-062,Poblacion Barangay 4 Barangay Hall,Barangay Hall,Poblacion Barangay 4,Partner Institution,115,15,Operational,No,Yes,Good,14.018839,121.186904,2026-07-25,Routine monitoring
FAC-063,Sampaguita Barangay Hall,Barangay Hall,Sampaguita,National Government,144,30,Operational,Yes,Yes,Fair,13.922023,121.202705,2026-07-14,Check accessibility
FAC-064,Sico Barangay Hall,Barangay Hall,Sico,Barangay,212,18,Operational,No,No,Poor,13.983232,121.22984,2026-08-20,Update contact details
FAC-065,Barangay 12 Barangay Hall,Barangay Hall,Barangay 12,National Government,30,29,Operational,Yes,No,Good,13.890189,121.197745,2026-07-09,Routine monitoring
FAC-066,Bolbok Barangay Hall,Barangay Hall,Bolbok,Barangay,238,18,Operational,No,No,Fair,13.940485,121.19556,2026-08-24,Routine monitoring
FAC-067,Kayumanggi Barangay Hall,Barangay Hall,Kayumanggi,LGU,299,17,For Inspection,Yes,Yes,Fair,13.9881,121.180949,2026-08-12,Routine monitoring
FAC-068,Pagolingin Bata Barangay Hall,Barangay Hall,Pagolingin Bata,Barangay,83,18,Operational,Yes,No,Poor,13.888402,121.181401,2026-08-12,Update contact details
FAC-069,Poblacion Barangay 2 Barangay Hall,Barangay Hall,Poblacion Barangay 2,LGU,44,26,Operational,No,No,Fair,14.007564,121.097813,2026-09-14,Update contact details
FAC-070,Rizal Barangay Hall,Barangay Hall,Rizal,LGU,226,23,Operational,Yes,Yes,Good,13.950184,121.126733,2026-08-09,Verify signage
FAC-071,San Salvador Barangay Hall,Barangay Hall,San Salvador,Barangay,261,6,Operational,Yes,Yes,Poor,14.018391,121.141978,2026-09-01,Check accessibility
FAC-072,Tipacan Barangay Hall,Barangay Hall,Tipacan,Partner Institution,292,26,Operational,Yes,No,Good,13.972147,121.199065,2026-07-02,
FAC-073,Balintawak Public School 1,Public School,Balintawak,Barangay,1498,16,Operational,Yes,No,Good,14.002346,121.10508,2026-08-12,Check accessibility
FAC-074,Halang Public School 2,Public School,Halang,Partner Institution,1234,2,Operational,No,No,Poor,13.93038,121.138563,2026-07-17,Check accessibility
FAC-075,Mataas Na Lupa Public School 3,Public School,Mataas Na Lupa,National Government,420,20,Operational,Yes,Yes,Good,14.002236,121.093115,2026-08-06,Verify signage
FAC-076,Poblacion Barangay 10 Public School 4,Public School,Poblacion Barangay 10,Partner Institution,468,13,Operational,Yes,No,Good,14.009961,121.111834,2026-08-31,
FAC-077,Pusil Public School 5,Public School,Pusil,National Government,399,28,Operational,Yes,Yes,Good,14.016821,121.210246,2026-09-10,
FAC-078,San Jose Public School 6,Public School,San Jose,Partner Institution,501,35,Limited,Yes,No,Good,13.972444,121.188525,2026-08-13,Update contact details
FAC-079,Tanguay Public School 7,Public School,Tanguay,National Government,1383,8,Operational,No,No,Good,13.980718,121.110014,2026-09-09,Routine monitoring
FAC-080,Bagong Pook Public School 8,Public School,Bagong Pook,LGU,312,30,Operational,Yes,Yes,Good,14.004489,121.162506,2026-07-18,Routine monitoring
FAC-081,Dagatan Public School 9,Public School,Dagatan,Partner Institution,1261,15,Operational,Yes,No,Good,13.966014,121.189724,2026-07-18,Check accessibility
FAC-082,Malitlit Public School 10,Public School,Malitlit,LGU,816,7,Operational,No,No,Good,13.963568,121.090581,2026-07-29,Update contact details
FAC-083,Plaridel Public School 11,Public School,Plaridel,Barangay,391,22,Operational,No,Yes,Good,13.915895,121.216489,2026-08-30,Verify signage
FAC-084,Poblacion Barangay 8 Public School 12,Public School,Poblacion Barangay 8,LGU,761,24,Operational,Yes,Yes,Good,13.912572,121.14169,2026-09-14,Update contact details
FAC-085,San Francisco Public School 13,Public School,San Francisco,Barangay,509,35,Operational,Yes,No,Fair,13.958875,121.213016,2026-07-27,Routine monitoring
FAC-086,Tambo Public School 14,Public School,Tambo,Barangay,286,15,For Inspection,Yes,Yes,Good,14.001045,121.122413,2026-08-30,Routine monitoring
FAC-087,Antipolo Del Norte Public School 15,Public School,Antipolo Del Norte,Partner Institution,919,24,Operational,Yes,Yes,Poor,13.966786,121.198792,2026-07-03,Update contact details
FAC-088,Calamias Public School 16,Public School,Calamias,National Government,858,12,Operational,Yes,No,Fair,13.890352,121.123682,2026-07-09,Check accessibility
FAC-089,Mabini Public School 17,Public School,Mabini,LGU,740,34,For Inspection,No,Yes,Poor,13.889043,121.10556,2026-08-15,Routine monitoring
FAC-090,Pinagkawitan Public School 18,Public School,Pinagkawitan,LGU,1457,28,Operational,No,No,Good,13.926597,121.157887,2026-07-23,Verify signage
FAC-091,Poblacion Barangay 6 Public School 19,Public School,Poblacion Barangay 6,National Government,1117,11,Operational,Yes,Yes,Good,13.893133,121.142402,2026-08-01,Check accessibility
FAC-092,San Carlos Public School 20,Public School,San Carlos,National Government,885,32,Operational,No,No,Good,13.966252,121.210181,2026-08-28,Routine monitoring
FAC-093,Santo Toribio Public School 21,Public School,Santo Toribio,Barangay,819,34,Operational,Yes,No,Good,13.914719,121.138129,2026-08-09,
FAC-094,Anilao Public School 22,Public School,Anilao,Partner Institution,968,16,Operational,Yes,No,Fair,13.924328,121.122006,2026-07-11,Check accessibility
FAC-095,Bulacnin Public School 23,Public School,Bulacnin,Partner Institution,352,34,Limited,Yes,Yes,Good,13.907397,121.215372,2026-08-26,
FAC-096,Lodlod Public School 24,Public School,Lodlod,LGU,1173,18,Operational,No,No,Good,14.011477,121.222591,2026-09-04,Verify signage
FAC-097,Pagolingin West Public School 25,Public School,Pagolingin West,LGU,498,23,Operational,No,Yes,Good,13.949855,121.154554,2026-09-12,Routine monitoring
FAC-098,Poblacion Barangay 4 Public School 26,Public School,Poblacion Barangay 4,Barangay,493,32,For Inspection,No,No,Good,13.953186,121.098672,2026-07-09,Update contact details
FAC-099,Sampaguita Public School 27,Public School,Sampaguita,Partner Institution,298,29,Operational,No,Yes,Good,14.011794,121.093386,2026-08-31,Verify signage
FAC-100,Sico Public School 28,Public School,Sico,National Government,1404,3,Operational,Yes,Yes,Good,14.006088,121.104414,2026-07-21,Routine monitoring
FAC-101,Barangay 12 Public School 29,Public School,Barangay 12,National Government,1288,13,Operational,Yes,No,Fair,13.984284,121.176595,2026-07-04,Check accessibility
FAC-102,Bolbok Public School 30,Public School,Bolbok,LGU,306,26,Operational,No,Yes,Good,14.004105,121.150879,2026-07-08,Update contact details
FAC-103,Kayumanggi Public School 31,Public School,Kayumanggi,National Government,561,25,Operational,Yes,No,Poor,13.928401,121.090114,2026-08-17,Routine monitoring
FAC-104,Pagolingin Bata Public School 32,Public School,Pagolingin Bata,National Government,418,17,Operational,No,Yes,Good,13.930905,121.144942,2026-08-28,Check accessibility
FAC-105,Poblacion Barangay 2 Public School 33,Public School,Poblacion Barangay 2,National Government,932,18,Operational,No,No,Fair,14.00051,121.217818,2026-07-08,Update contact details
FAC-106,Rizal Public School 34,Public School,Rizal,Partner Institution,1101,3,Operational,Yes,Yes,Fair,13.894006,121.140682,2026-08-28,
FAC-107,San Salvador Public School 35,Public School,San Salvador,Barangay,740,32,Operational,Yes,No,Poor,13.903777,121.082795,2026-07-23,Check accessibility
FAC-108,Tipacan Public School 36,Public School,Tipacan,National Government,419,23,Operational,Yes,No,Poor,13.911963,121.102326,2026-09-08,
FAC-109,Balintawak Public School 37,Public School,Balintawak,Barangay,1397,29,For Inspection,Yes,Yes,Good,13.989729,121.140236,2026-07-05,Verify signage
FAC-110,Halang Public School 38,Public School,Halang,Barangay,331,6,Operational,Yes,No,Fair,13.953666,121.181499,2026-08-24,Update contact details
FAC-111,Mataas Na Lupa Public School 39,Public School,Mataas Na Lupa,Partner Institution,734,31,Operational,No,No,Poor,14.017086,121.126095,2026-07-30,Check accessibility
FAC-112,Poblacion Barangay 10 Public School 40,Public School,Poblacion Barangay 10,LGU,1471,12,Operational,Yes,No,Fair,13.898864,121.203348,2026-07-05,
FAC-113,Barangay 12 Health Facility 1,Health Facility,Barangay 12,National Government,178,35,Operational,Yes,Yes,Good,13.911134,121.115736,2026-08-06,Routine monitoring
FAC-114,Bolbok Health Facility 2,Health Facility,Bolbok,National Government,152,23,Operational,Yes,No,Poor,13.992966,121.115348,2026-08-11,Check accessibility
FAC-115,Kayumanggi Health Facility 3,Health Facility,Kayumanggi,Barangay,41,28,Operational,No,No,Fair,13.991152,121.203772,2026-08-20,Check accessibility
FAC-116,Pagolingin Bata Health Facility 4,Health Facility,Pagolingin Bata,Partner Institution,267,8,Limited,Yes,Yes,Good,13.984696,121.167842,2026-07-25,Check accessibility
FAC-117,Poblacion Barangay 2 Health Facility 5,Health Facility,Poblacion Barangay 2,Partner Institution,158,16,Operational,Yes,Yes,Good,14.017643,121.12035,2026-09-03,Check accessibility
FAC-118,Rizal Health Facility 6,Health Facility,Rizal,Partner Institution,239,31,Limited,Yes,No,Good,13.958731,121.194832,2026-08-11,Verify signage
FAC-119,San Salvador Health Facility 7,Health Facility,San Salvador,Barangay,228,15,Operational,Yes,No,Poor,13.974971,121.178718,2026-08-06,Update contact details
FAC-120,Tipacan Health Facility 8,Health Facility,Tipacan,Partner Institution,171,24,Operational,Yes,Yes,Good,13.941193,121.103098,2026-08-25,Check accessibility
FAC-121,Balintawak Health Facility 9,Health Facility,Balintawak,National Government,104,23,Limited,Yes,No,Fair,13.93798,121.139315,2026-09-14,Update contact details
FAC-122,Halang Health Facility 10,Health Facility,Halang,National Government,127,22,Operational,Yes,No,Good,14.0122,121.156529,2026-08-20,Check accessibility
FAC-123,Mataas Na Lupa Health Facility 11,Health Facility,Mataas Na Lupa,National Government,202,15,Operational,Yes,No,Good,13.90798,121.226559,2026-08-30,Check accessibility
FAC-124,Poblacion Barangay 10 Health Facility 12,Health Facility,Poblacion Barangay 10,Barangay,160,9,For Inspection,Yes,No,Fair,13.908139,121.106508,2026-07-19,
FAC-125,Pusil Health Facility 13,Health Facility,Pusil,LGU,102,29,Operational,Yes,Yes,Good,13.912331,121.192113,2026-07-10,
FAC-126,San Jose Health Facility 14,Health Facility,San Jose,Partner Institution,297,13,Operational,No,Yes,Good,13.909984,121.14863,2026-07-11,Routine monitoring
FAC-127,Tanguay Health Facility 15,Health Facility,Tanguay,Partner Institution,259,18,Operational,Yes,Yes,Poor,13.911014,121.181898,2026-08-24,Routine monitoring
FAC-128,Bagong Pook Health Facility 16,Health Facility,Bagong Pook,Barangay,177,32,Operational,Yes,No,Fair,13.981687,121.111936,2026-08-25,Check accessibility
FAC-129,Dagatan Health Facility 17,Health Facility,Dagatan,LGU,151,10,Operational,No,Yes,Fair,13.962665,121.141484,2026-07-07,
FAC-130,Malitlit Health Facility 18,Health Facility,Malitlit,Barangay,64,4,Operational,No,Yes,Fair,13.972528,121.09863,2026-07-10,Check accessibility
FAC-131,Plaridel Health Facility 19,Health Facility,Plaridel,Barangay,220,15,Operational,Yes,Yes,Fair,13.958053,121.101408,2026-07-21,Verify signage
FAC-132,Poblacion Barangay 8 Health Facility 20,Health Facility,Poblacion Barangay 8,Barangay,170,35,Operational,No,No,Poor,14.019847,121.125698,2026-09-01,Routine monitoring
FAC-133,Tanguay Evacuation Center 1,Evacuation Center,Tanguay,Partner Institution,246,32,Operational,No,Yes,Good,13.918072,121.163019,2026-09-10,Verify signage
FAC-134,Bagong Pook Evacuation Center 2,Evacuation Center,Bagong Pook,LGU,834,27,Operational,No,No,Fair,13.896906,121.214657,2026-07-02,Check accessibility
FAC-135,Dagatan Evacuation Center 3,Evacuation Center,Dagatan,Partner Institution,704,16,Operational,Yes,Yes,Poor,13.88173,121.196598,2026-07-22,Check accessibility
FAC-136,Malitlit Evacuation Center 4,Evacuation Center,Malitlit,Barangay,159,22,Operational,Yes,No,Good,13.987636,121.238955,2026-07-22,Verify signage
FAC-137,Plaridel Evacuation Center 5,Evacuation Center,Plaridel,Barangay,765,8,Operational,No,No,Fair,14.013678,121.218237,2026-08-03,Routine monitoring
FAC-138,Poblacion Barangay 8 Evacuation Center 6,Evacuation Center,Poblacion Barangay 8,Partner Institution,516,23,Operational,Yes,No,Good,13.949464,121.237216,2026-08-29,Routine monitoring
FAC-139,San Francisco Evacuation Center 7,Evacuation Center,San Francisco,LGU,417,15,Operational,Yes,No,Good,13.970017,121.136436,2026-08-01,Check accessibility
FAC-140,Tambo Evacuation Center 8,Evacuation Center,Tambo,LGU,616,5,Operational,Yes,No,Poor,13.908904,121.194946,2026-07-02,Check accessibility
FAC-141,Antipolo Del Norte Evacuation Center 9,Evacuation Center,Antipolo Del Norte,Partner Institution,817,33,Operational,Yes,Yes,Fair,13.923899,121.137595,2026-08-28,Update contact details
FAC-142,Calamias Evacuation Center 10,Evacuation Center,Calamias,LGU,482,5,Operational,No,Yes,Good,14.019342,121.125593,2026-09-14,Check accessibility
FAC-143,Mabini Evacuation Center 11,Evacuation Center,Mabini,National Government,636,27,Operational,Yes,No,Good,13.937062,121.219663,2026-07-30,Verify signage
FAC-144,Pinagkawitan Evacuation Center 12,Evacuation Center,Pinagkawitan,Partner Institution,510,15,Operational,Yes,No,Good,13.943085,121.131648,2026-08-31,Update contact details
FAC-145,Poblacion Barangay 6 Evacuation Center 13,Evacuation Center,Poblacion Barangay 6,Partner Institution,450,3,Operational,Yes,Yes,Good,13.933097,121.101924,2026-08-25,
FAC-146,San Carlos Evacuation Center 14,Evacuation Center,San Carlos,National Government,404,27,Operational,Yes,No,Fair,13.926843,121.145026,2026-09-02,Verify signage
FAC-147,Santo Toribio Evacuation Center 15,Evacuation Center,Santo Toribio,National Government,322,27,Operational,Yes,Yes,Poor,13.899751,121.145081,2026-07-07,Verify signage
FAC-148,Anilao Evacuation Center 16,Evacuation Center,Anilao,LGU,177,12,Operational,No,No,Good,13.892621,121.10895,2026-07-24,Verify signage
FAC-149,Bulacnin Evacuation Center 17,Evacuation Center,Bulacnin,National Government,329,20,Operational,No,Yes,Good,14.003507,121.20128,2026-07-14,Verify signage
FAC-150,Lodlod Evacuation Center 18,Evacuation Center,Lodlod,National Government,696,30,Operational,No,Yes,Fair,13.911861,121.231839,2026-09-03,Update contact details
FAC-151,Pagolingin West Evacuation Center 19,Evacuation Center,Pagolingin West,National Government,680,9,Operational,Yes,Yes,Poor,13.896328,121.10187,2026-07-24,Routine monitoring
FAC-152,Poblacion Barangay 4 Evacuation Center 20,Evacuation Center,Poblacion Barangay 4,LGU,275,13,Operational,Yes,No,Fair,13.944086,121.154257,2026-08-20,Routine monitoring
FAC-153,Sampaguita Evacuation Center 21,Evacuation Center,Sampaguita,LGU,301,34,Operational,No,No,Good,13.988057,121.15059,2026-08-28,Update contact details
FAC-154,Sico Evacuation Center 22,Evacuation Center,Sico,National Government,559,13,Operational,No,Yes,Fair,13.900457,121.115135,2026-09-03,Verify signage
FAC-155,Barangay 12 Evacuation Center 23,Evacuation Center,Barangay 12,Barangay,268,14,Operational,No,Yes,Good,13.996313,121.159262,2026-08-07,Verify signage
FAC-156,Bolbok Evacuation Center 24,Evacuation Center,Bolbok,National Government,841,2,Limited,Yes,Yes,Good,13.908412,121.101756,2026-08-21,Routine monitoring
FAC-157,Kayumanggi Evacuation Center 25,Evacuation Center,Kayumanggi,Barangay,373,2,Operational,Yes,Yes,Good,13.926345,121.161906,2026-07-10,Update contact details
FAC-158,Pagolingin Bata Evacuation Center 26,Evacuation Center,Pagolingin Bata,Barangay,344,11,Operational,Yes,No,Fair,13.930937,121.129143,2026-08-07,Verify signage
FAC-159,Poblacion Barangay 2 Evacuation Center 27,Evacuation Center,Poblacion Barangay 2,National Government,494,7,Operational,No,Yes,Poor,13.950614,121.156342,2026-08-23,Routine monitoring
FAC-160,Rizal Evacuation Center 28,Evacuation Center,Rizal,National Government,273,18,Operational,Yes,No,Fair,14.01226,121.155276,2026-08-13,Verify signage
FAC-161,Pusil Fire/Rescue Post 1,Fire/Rescue Post,Pusil,Barangay,153,28,Limited,No,Yes,Good,13.995774,121.221113,2026-09-11,Routine monitoring
FAC-162,San Jose Fire/Rescue Post 2,Fire/Rescue Post,San Jose,LGU,113,14,Operational,Yes,Yes,Fair,13.905668,121.137121,2026-07-22,Update contact details
FAC-163,Tanguay Fire/Rescue Post 3,Fire/Rescue Post,Tanguay,National Government,300,29,Operational,Yes,Yes,Poor,13.999833,121.117905,2026-07-28,Check accessibility
FAC-164,Bagong Pook Fire/Rescue Post 4,Fire/Rescue Post,Bagong Pook,National Government,111,32,Operational,Yes,Yes,Poor,13.984236,121.107092,2026-08-19,Verify signage
FAC-165,Dagatan Fire/Rescue Post 5,Fire/Rescue Post,Dagatan,Partner Institution,142,5,Operational,No,No,Good,13.930403,121.094093,2026-08-21,Check accessibility
FAC-166,Malitlit Fire/Rescue Post 6,Fire/Rescue Post,Malitlit,Barangay,132,26,Operational,Yes,Yes,Poor,13.953825,121.219806,2026-07-06,
FAC-167,Plaridel Fire/Rescue Post 7,Fire/Rescue Post,Plaridel,Barangay,256,18,Operational,Yes,No,Good,13.927702,121.117705,2026-08-29,Verify signage
FAC-168,Poblacion Barangay 8 Fire/Rescue Post 8,Fire/Rescue Post,Poblacion Barangay 8,National Government,57,15,Operational,Yes,No,Fair,13.960288,121.107283,2026-07-02,Check accessibility
FAC-169,Pagolingin West Police/Peace and Order 1,Police/Peace and Order,Pagolingin West,National Government,123,10,Operational,Yes,No,Fair,13.982769,121.092925,2026-07-20,Check accessibility
