dataset,field_name,description,data_type,unit_or_format,example_or_domain,source_status,participant_notes
ACT01_facilities_SYNTHETIC.csv,facility_id,Unique training facility identifier,Text,FAC-###,FAC-001,Synthetic,
ACT01_facilities_SYNTHETIC.csv,facility_name,Training facility name,Text,name,Adya Barangay Hall,Synthetic,
ACT01_facilities_SYNTHETIC.csv,facility_type,Facility category,Category,controlled list,Barangay Hall,Synthetic,
ACT01_facilities_SYNTHETIC.csv,barangay_name,Barangay link field,Text,name,Adya,Uses official barangay names,
ACT01_facilities_SYNTHETIC.csv,operator_type,Operating organization type,Category,controlled list,LGU,Synthetic,
ACT01_facilities_SYNTHETIC.csv,capacity_persons_synth,Estimated facility capacity,Integer,persons,350,Synthetic,
ACT01_facilities_SYNTHETIC.csv,staff_count_synth,Estimated staff complement,Integer,persons,12,Synthetic,
ACT01_facilities_SYNTHETIC.csv,operational_status_synth,Training operating status,Category,Operational/Limited/For Inspection,Operational,Synthetic,
ACT01_facilities_SYNTHETIC.csv,has_backup_power_synth,Backup power availability,Boolean-like category,Yes/No,Yes,Synthetic,
ACT01_facilities_SYNTHETIC.csv,has_water_storage_synth,Water storage availability,Boolean-like category,Yes/No,No,Synthetic,
ACT01_facilities_SYNTHETIC.csv,access_road_condition_synth,Access road condition,Category,Good/Fair/Poor,Good,Synthetic,
ACT01_facilities_SYNTHETIC.csv,latitude_wgs84_synth,Training latitude,Decimal degrees,EPSG:4326,13.94,Synthetic,
ACT01_facilities_SYNTHETIC.csv,longitude_wgs84_synth,Training longitude,Decimal degrees,EPSG:4326,121.16,Synthetic,
ACT01_facilities_SYNTHETIC.csv,last_inspected_synth,Training inspection date,Date,YYYY-MM-DD,2026-08-20,Synthetic,
ACT01_facilities_SYNTHETIC.csv,remarks_synth,Free-text training remarks,Text,none,Verify signage,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,request_id,Unique service request identifier,Text,SR-####,SR-0001,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,request_date,Date received,Date,YYYY-MM-DD,2026-03-17,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,barangay_name,Barangay associated with request,Text,name,Sabang,Uses official barangay names,
ACT01_service_requests_SYNTHETIC.csv,service_category,Concern category,Category,controlled list,Road/Drainage,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,channel,Submission channel,Category,controlled list,Web Form,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,priority,Priority level,Category,Low/Normal/High/Urgent,High,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,status,Processing status,Category,Closed/In Progress/Pending Validation,Closed,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,resolution_hours_synth,Training resolution time,Decimal,hours,18.5,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,citizen_satisfaction_1_5_synth,Training satisfaction score,Integer,1 to 5,4,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,repeat_request_synth,Whether request was repeated,Category,Yes/No,No,Synthetic,
ACT01_service_requests_SYNTHETIC.csv,remarks_synth,Free-text workflow note,Text,none,Requires site validation,Synthetic,
